Date,Open,High,Low,Close,Volume,Variation,Percentual Variation,RSI,Stochastic_oscillator,OBV,ATR,EMA_14,EMA_12,EMA_26,MACD,Signal_MACD,Money_flow,Chaikin,0
2023-03-06,6.944293,6.966588,6.836517,6.8622,222624936,-0.08209300000000042,-1.182164980653904,38.025061166257025,0.0770103808997944,1289254132,0.01031588328726537,7.194313981321642,7.169335885540061,7.212923571353363,0.043587685813301746,-0.06340759800127051,-134708702.07717362,-377337963.7522338,6.871421
2023-03-07,6.862202,6.965406,6.697965,6.871421,256141888,0.009218999999999866,0.13434463165030505,44.051112154820444,0.09340686867717504,1545396020,0.019839777377661797,7.151261583812089,7.123502826226206,7.187627084586447,0.06412425836024127,-0.03790122672896815,76113430.55570377,-379050010.5643537,6.58442
2023-03-08,6.871099,6.924243,6.548699,6.58442,302742595,-0.28667900000000035,-4.172243770610791,41.7476297672421,-0.0778629168301027,1242653425,0.028241698384118673,7.075682705970477,7.040567006806789,7.142945078320785,0.10237807151399547,-0.00984536708037543,-245150045.33341014,-386543861.2887468,6.158695
2023-03-09,6.584459,6.675149,6.063873,6.158695,314151909,-0.42576400000000003,-6.466195628220937,42.7056680527643,-0.24261010964620355,928501516,0.04567983559886563,6.953417678507747,6.9048943903749755,7.070037665111838,0.1651432747368622,0.02515236128307209,-216688529.72386968,-411744362.9084724,6.225045
2023-03-10,6.158603,6.261226,5.949133,6.225045,336133866,0.06644199999999945,1.078848563545977,37.39853495196569,0.07878705516931878,1264635382,0.02555520254277611,6.8563013213733806,6.800302176471133,7.007445615844294,0.20714343937316126,0.06155057690108993,258197741.79506102,-388061287.14528614,6.20798
2023-03-11,6.224761,6.391979,6.0005,6.20798,335637067,-0.016780999999999935,-0.26958464750694744,37.64496706802384,0.16040281806571244,928998315,0.029788157324484033,6.769858478523597,6.709175687783267,6.9482259405965685,0.2390502528133016,0.09705051208353227,20131588.080655914,-391248980.5380297,6.589978
2023-03-12,6.207445,6.589978,6.128784,6.589978,266096727,0.38253300000000046,6.162487142455559,38.380243614730375,0.39712009002739634,1195095042,0.03507015409460606,6.745874414720451,6.690837581970457,6.921689056107934,0.2308514741374772,0.12381070449432126,266096727.0,-381945820.4520476,6.776379
2023-03-13,6.589326,6.896908,6.429993,6.776379,398871384,0.18705300000000058,2.8387273599758243,48.69244216743573,0.5126294283247954,1593966426,0.03585608243532901,6.749941692757724,6.703997800128848,6.910925348248087,0.2069275481192392,0.14043407321930484,192942814.37968042,-345709992.6898235,6.975946
2023-03-14,6.776573,7.197959,6.66455,6.975946,465219170,0.19937300000000047,2.94209182133802,48.9621494223035,0.6362974993973595,2059185596,0.040661791602523485,6.7800756003900275,6.74583598472441,6.915741692822303,0.16990570809789318,0.14632840019502252,77956474.43539633,-323198681.19977534,6.551081
2023-03-15,6.976572,7.117381,6.437794,6.551081,395492432,-0.42549100000000006,-6.098854853071108,47.30351285596873,0.37301632056396017,1663693164,0.051446342257323086,6.74954298700469,6.715873679382193,6.888729789650281,0.17285611026808745,0.1516339422096355,-263635433.13456,-309536083.2005169,6.674514
2023-03-16,6.553657,6.685502,6.500079,6.674514,226614246,0.12085699999999999,1.8441154305145966,41.3199766099904,0.4495055247745754,1890307410,0.01691923873266588,6.739539122070732,6.7095106517849326,6.87286195337989,0.16335130159495748,0.1539774140866999,199756333.7124428,-340721321.4103568,7.225374
